,Multiplicity,Group Num,Start Position,Product,Gene Name,Reactions
wcaH,1.6240046208692687,10.0,2119680.0,GDP-mannose mannosyl hydrolase,b2051,frozenset({<Reaction GDPMNH at 0x7fcfa69798d0>})
gmd,1.481529019824772,10.0,2121728.0,"GDP-D-mannose dehydratase, NAD(P)-binding",b2053,frozenset({<Reaction GMAND at 0x7fcfa6946be0>})
wcaF,1.7232133877799514,10.0,2121820.0,putative acyl transferase,b2054,
wcaE,1.4770890854008156,10.0,2122384.0,putative glycosyl transferase,b2055,
wcaD,1.6395655829938396,10.0,2123776.0,putative colanic acid polymerase,b2056,
wcaC,1.58891353628815,10.0,2124333.0,putative glycosyl transferase,b2057,
wcaA,1.6406582990034428,10.0,2126038.0,putative glycosyl transferase,b2059,
wzc,1.7826858174920874,10.0,2126970.0,colanic acid production tyrosine-protein kinase; autokinase; Ugd phosphorylase,b2060,
wzb,1.8927773793020757,10.0,2129135.0,colanic acid production protein-tyrosine-phosphatase; Wzc-P dephosphorylase,b2061,
wza,1.7592305178104022,10.0,2129920.0,colanic acid export protein; outer membrane auxillary lipoprotein,b2062,
yegH,1.51848182779351,10.0,2131382.0,inner membrane protein,b2063,
asmA,1.651514557489257,10.0,2133239.0,suppressor of OmpF assembly mutants; putative outer membrane protein assembly factor; inner membrane-anchored periplasmic protein,b2064,
dcd,1.4137121987038255,10.0,2135114.0,deoxycytidine triphosphate deaminase; dCTP deaminase,b2065,frozenset({<Reaction DCTPD at 0x7fcfa6abfd30>})
udk,1.975251225924682,10.0,2136064.0,uridine/cytidine kinase,b2066,"frozenset({<Reaction URIK2 at 0x7fcfa6594438>, <Reaction CYTDK2 at 0x7fcfa6aa7438>})"
yegE,1.6263362692652952,10.0,2138112.0,putative diguanylate cyclase,b2067,
yegD,1.5339980948630918,10.0,2142208.0,Hsp70 chaperone family protein,b2069,
yegI,1.7760878706475756,10.0,2142519.0,protein kinase-related putative non-specific DNA-binding protein,b2070,
yegJ,1.6353853879839408,10.0,2144665.0,uncharacterized protein,b2071,
yegK,1.6597355388995012,10.0,2145191.0,ser/thr phosphatase-related protein,b2072,
ibsA,1.9097009565468814,10.0,2146829.0,toxic membrane protein,b4667,
ibsB,1.47844427589246,10.0,2147200.0,toxic membrane protein,b4668,
mdtA,1.58132268135409,10.0,2148352.0,"multidrug efflux system, subunit A",b2074,
mdtB,1.5118281678448984,10.0,2148743.0,"multidrug efflux system, subunit B",b2075,
mdtC,1.525874575996196,10.0,2154496.0,"multidrug efflux system, subunit C",b2076,
mdtD,1.5999798179322722,10.0,2154944.0,,,
baeS,1.5863267616238381,10.0,2156356.0,sensory histidine kinase in two-component regulatory system with BaeR,b2078,
baeR,1.7213158020241472,10.0,2157756.0,response regulator in two-component regulatory system with BaeS,b2079,
yegP,1.7336365693760927,10.0,2158669.0,UPF0339 family protein,b2080,
yegQ,1.6153342652040836,10.0,2159148.0,putative peptidase,b2081,
ogrK,1.9631891463858915,10.0,2160782.0,"orphan Ogr protein, positive regulator of P2 growth",b2082,
yegZ,1.6291748500054968,10.0,2161152.0,No_gene_product,b2083,
yegR,1.9175538034036794,10.0,2161664.0,uncharacterized protein,b2085,
yegS,1.567371225603359,10.0,2162688.0,"phosphatidylglycerol kinase, metal-dependent",b2086,
gatD,1.5321261493013962,10.0,2165313.0,"galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding",b2091,frozenset({<Reaction GLTPD at 0x7fcfa691d4e0>})
gatC,1.4549534829603492,10.0,2166784.0,No_gene_product,b2092,frozenset({<Reaction GALTptspp at 0x7fcfa696c048>})
gatB,1.7073449142263135,10.0,2167808.0,galactitol-specific enzyme IIB component of PTS,b2093,frozenset({<Reaction GALTptspp at 0x7fcfa696c048>})
gatA,1.8643693666560872,10.0,2168075.0,galactitol-specific enzyme IIA component of PTS,b2094,frozenset({<Reaction GALTptspp at 0x7fcfa696c048>})
gatZ,1.624050668328197,10.0,2168832.0,"D-tagatose 1,6-bisphosphate aldolase 2, subunit",b2095,frozenset({<Reaction TGBPA at 0x7fcfa65a1630>})
gatY,1.566970029455865,10.0,2169828.0,"D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit",b2096,frozenset({<Reaction TGBPA at 0x7fcfa65a1630>})
fbaB,1.5507481136813879,10.0,2170990.0,fructose-bisphosphate aldolase class I,b2097,frozenset({<Reaction FBA at 0x7fcfa6a53d68>})
yegT,1.6493980125337222,10.0,2172928.0,"nucleoside transporter, low affinity",b2098,
yegV,1.581532883268639,10.0,2174976.0,putative kinase,b2100,
yegW,1.521272513920232,10.0,2175513.0,putative DNA-binding transcriptional regulator,b2101,
yegX,1.7004849009790535,10.0,2177024.0,putative family 25 glycosyl hydrolase,b2102,
thiD,1.4416686453754917,10.0,2177194.0,hydroxy-methylpyrimidine kinase and hydroxy-phosphomethylpyrimidine kinase,b2103,"frozenset({<Reaction HMPK1 at 0x7fcfa689c630>, <Reaction PMPK at 0x7fcfa66b8d30>})"
thiM,1.5268008233679424,10.0,2177991.0,hydoxyethylthiazole kinase,b2104,frozenset({<Reaction HETZK at 0x7fcfa6911470>})
rcnA,1.6057771691389515,10.0,2179395.0,membrane protein conferring nickel and cobalt resistance,b2106,
rcnB,1.8491030381035203,10.0,2180608.0,periplasmic modulator of Ni and Co efflux,b2107,
yehA,1.840373310806603,10.0,2181120.0,putative fimbrial-like adhesin protein,b2108,
yehB,1.601069258740512,10.0,2181908.0,putative outer membrane protein,b2109,
yehC,1.7538854909544703,10.0,2184404.0,putative periplasmic pilin chaperone,b2110,
yehD,1.7933890953157765,10.0,2185216.0,putative fimbrial-like adhesin protein,b2111,
yehE,1.813884607614606,10.0,2186240.0,DUF2574 family protein,b2112,
mrp,1.51399715473987,10.0,2187264.0,antiporter inner membrane protein,b2113,
metG,1.7405205757036417,10.0,2187778.0,methionyl-tRNA synthetase,b2114,frozenset({<Reaction METTRS at 0x7fcfa6803320>})
yehH,1.6500644119421708,10.0,2189952.0,No_gene_product,b4499,
yehI,1.581576472558377,10.0,2195456.0,DUF4132 domain-containing protein,b2118,
yehK,2.2123689731124316,10.0,2197504.0,uncharacterized protein,b4541,
yehL,1.647058787792511,10.0,2198074.0,putative hexameric AAA+ MoxR family ATPase,b2119,
yehM,1.611506449065404,10.0,2199173.0,uncharacterized protein,b2120,
yehP,1.496628883427854,10.0,2201600.0,VMA domain putative YehL ATPase stimulator,b2121,
yehQ,1.5733756943619404,10.0,2203648.0,No_gene_product,b2122,
yehR,2.045338695306601,10.0,2204703.0,"lipoprotein, DUF1307 family",b2123,
yehS,1.595873249954099,10.0,2205204.0,DUF1456 family protein,b2124,
yehT,1.4281525151852341,10.0,2205721.0,putative response regulator in two-component system withYehU,b2125,
yehU,1.5846739029863748,10.0,2206437.0,inner membrane putative sensory kinase in two-component system with YehT,b2126,
mlrA,1.5698613920937958,10.0,2208344.0,transcriptional activator of csgD and csgBA,b2127,
yehY,1.5643860465814543,10.0,2211840.0,putative ABC transporter permease,b2130,"frozenset({<Reaction CHLabcpp at 0x7fcfa6b466a0>, <Reaction GLYBabcpp at 0x7fcfa692add8>})"
osmF,1.5925928040179564,10.0,2212042.0,putative ABC transporter periplasmic binding protein,b2131,"frozenset({<Reaction CHLabcpp at 0x7fcfa6b466a0>, <Reaction GLYBabcpp at 0x7fcfa692add8>})"
bglX,1.4458248293311982,10.0,2213170.0,"beta-D-glucoside glucohydrolase, periplasmic",b2132,frozenset({<Reaction LACZpp at 0x7fcfa6877128>})
dld,1.5976615092339976,10.0,2215663.0,"D-lactate dehydrogenase, FAD-binding, NADH independent",b2133,"frozenset({<Reaction LDH_D at 0x7fcfa68821d0>, <Reaction LDH_D2 at 0x7fcfa6882278>})"
pbpG,1.5772827758408259,10.0,2217984.0,D-alanyl-D-alanine endopeptidase,b2134,"frozenset({<Reaction MDDEP2pp at 0x7fcfa67e7588>, <Reaction MDDEP4pp at 0x7fcfa67e77b8>, <Reaction MDDEP3pp at 0x7fcfa67e7240>, <Reaction MDDEP1pp at 0x7fcfa67e71d0>})"
yohC,1.5414596114153591,10.0,2218522.0,Yip1 family inner membrane protein,b2135,
yohD,1.506348478972519,10.0,2219279.0,DedA family inner membrane protein,b2136,
yohF,1.5581137321939615,10.0,2220032.0,putative oxidoreductase,b2137,
mdtQ,1.5899784304056346,10.0,2220801.0,No_gene_product,b2139,
yohP,1.6788808291125505,10.0,2222464.0,uncharacterized protein,b4679,
yohJ,1.9875152940061542,10.0,2224128.0,UPF0299 family inner membrane protein,b2141,
yohK,1.5486202734973014,10.0,2224497.0,LrgB family inner membrane protein,b2142,
cdd,1.4818299015636391,10.0,2226176.0,cytidine/deoxycytidine deaminase,b2143,"frozenset({<Reaction CYTD at 0x7fcfa6aa74a8>, <Reaction DCYTD at 0x7fcfa6ace0f0>})"
sanA,1.5669900892632398,10.0,2226356.0,DUF218 superfamily vancomycin high temperature exclusion protein,b2144,
yeiS,1.5023355064757282,10.0,2227200.0,DUF2542 family protein,b2145,
preT,1.606541269211324,10.0,2228224.0,"dihydropyrimidine dehydrogenase, NADH-dependent, subunit N",b2146,frozenset({<Reaction DURADx at 0x7fcfa6a86828>})
preA,1.6682872476201913,10.0,2228743.0,"dihydropyrimidine dehydrogenase, NADH-dependent, subunit C",b2147,frozenset({<Reaction DURADx at 0x7fcfa6a86828>})
mglC,1.4895717059169393,10.0,2230272.0,methyl-galactoside transporter subunit,b2148,"frozenset({<Reaction GALabcpp at 0x7fcfa696c710>, <Reaction GLCabcpp at 0x7fcfa6990860>})"
mglA,1.5849039072933226,10.0,2231247.0,methyl-galactoside ABC transporter ATPase,b2149,"frozenset({<Reaction GALabcpp at 0x7fcfa696c710>, <Reaction GLCabcpp at 0x7fcfa6990860>})"
mglB,2.040168826540023,10.0,2232828.0,methyl-galactoside transporter subunit,b2150,"frozenset({<Reaction GALabcpp at 0x7fcfa696c710>, <Reaction GLCabcpp at 0x7fcfa6990860>})"
galS,1.6663995732692334,10.0,2234368.0,galactose- and fucose-inducible galactose regulon transcriptional isorepressor; mgl operon transcriptional repressor; autorepressor,b2151,
yeiB,1.6279386911420923,10.0,2236416.0,DUF418 family putative inner membrane protein,b2152,
folE,1.6449055131515102,10.0,2236462.0,GTP cyclohydrolase I,b2153,frozenset({<Reaction GTPCI at 0x7fcfa68ec5c0>})
yeiG,1.6507711591403942,10.0,2237388.0,S-formylglutathione hydrolase,b2154,frozenset({<Reaction SFGTHi at 0x7fcfa65de9e8>})
cirA,1.6614747481251273,10.0,2238256.0,colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter,b2155,frozenset({<Reaction FE3DHBZStonex at 0x7fcfa69ee9e8>})
lysP,1.6253803179930202,10.0,2240541.0,lysine transporter,b2156,frozenset({<Reaction LYSt2pp at 0x7fcfa682ed68>})
yeiE,1.5564505027150426,10.0,2242560.0,putative DNA-binding transcriptional regulator,b2157,
yeiH,1.756680160793839,10.0,2243195.0,UPF0324 family inner membrane protein,b2158,
nfo,1.4350401067963159,10.0,2244608.0,endonuclease IV with intrinsic 3'-5' exonuclease activity,b2159,
yeiI,1.6734032981538753,10.0,2245178.0,putative kinase,b2160,
yeiL,1.7918447804980886,10.0,2248833.0,putative transcriptional regulator,b2163,
psuT,1.5969936704133119,10.0,2250752.0,putative nucleoside transporter,b2164,
psuG,1.7471210127855274,10.0,2250907.0,pseudouridine 5'-phosphate glycosidase,b2165,
psuK,1.7379287446894756,10.0,2251833.0,pseudouridine kinase,b2166,
fruA,1.4988168145001202,10.0,2253197.0,fused fructose-specific PTS enzymes: IIBcomponent/IIC components,b2167,frozenset({<Reaction FRUptspp at 0x7fcfa69a64a8>})
fruK,1.6812330227654835,10.0,2254905.0,fructose-1-phosphate kinase,b2168,frozenset({<Reaction FRUK at 0x7fcfa6997da0>})
fruB,1.5947839996315012,10.0,2256896.0,fused fructose-specific PTS enzymes: IIA component/HPr component,b2169,frozenset({<Reaction FRUptspp at 0x7fcfa69a64a8>})
setB,1.63741237117467,10.0,2257341.0,lactose/glucose efflux system,b2170,frozenset({<Reaction LCTSt3ipp at 0x7fcfa6877cc0>})
yeiP,1.6591349242379667,10.0,2258944.0,elongation factor P-like protein,b2171,
yeiQ,1.6408461493261244,10.0,2260992.0,putative NAD-dependent D-mannonate oxidoreductase,b2172,
yeiR,1.661017235299056,10.0,2261307.0,Zn-stimulated GTPase involved in zinc homeostasis; mutants are cadmium and EDTA sensitive; Zn(2+) binding protein,b2173,
lpxT,1.846505115595885,10.0,2263040.0,lipid A 1-diphosphate synthase; undecaprenyl pyrophosphate:lipid A 1-phosphate phosphotransferase,b2174,frozenset({<Reaction COLIPAKpp at 0x7fcfa6ae2cf8>})
mepS,2.046586650580034,10.0,2263457.0,"murein DD-endopeptidase, space-maker hydrolase, mutational suppressor of prc thermosensitivity, outer membrane lipoprotein, weak murein LD-carboxypeptidase",b2175,
rtn,1.679835887368926,10.0,2264204.0,"resistance protein for phages lambda and N4, putative membrane-anchored cyclic-di-GMP phosphodiesterase",b2176,
yejA,1.5441777477639125,10.0,2265842.0,microcin C ABC transporter periplasmic binding protein,b2177,
yejB,1.6536172057906555,10.0,2267657.0,microcin C ABC transporter permease,b2178,
yejE,1.6275190383340212,10.0,2269184.0,microcin C ABC transporter permease,b2179,
yejF,1.6776222666721075,10.0,2269778.0,microcin C ABC transporter ATPase,b2180,
yejG,1.5693537371590784,10.0,2271371.0,uncharacterized protein,b2181,
bcr,1.613309020508126,10.0,2272048.0,bicyclomycin/cysteine/sulfonamide efflux transporter,b2182,
rsuA,1.7108839924678436,10.0,2273280.0,16S rRNA pseudouridine(516) synthase,b2183,
yejH,1.551211328111158,10.0,2274110.0,putative ATP-dependent DNA or RNA helicase,b2184,
rplY,1.6971910044570104,10.0,2275995.0,50S ribosomal subunit protein L25,b2185,
yejK,1.6409899371175725,10.0,2277376.0,spermidine nucleoid-associated protein,b2186,
yejL,1.766977250694741,10.0,2277607.0,UPF0352 family protein,b2187,
yejM,1.7310401539364442,10.0,2277854.0,essential inner membrane DUF3413 domain-containing protein; lipid A production and membrane permeability factor,b2188,
narP,1.8431214427486666,10.0,2283978.0,response regulator in two-component regulatory system with NarQ,b2193,
ccmH,2.010101804346391,10.0,2285568.0,"heme lyase, CcmH subunit",b2194,
dsbE,1.8985731166576505,10.0,2285885.0,periplasmic thioredoxin of cytochrome c-type biogenesis,b2195,
ccmF,1.6494348844516733,10.0,2286439.0,"heme lyase, CcmF subunit",b2196,
ccmE,1.6440142787255325,10.0,2288379.0,periplasmic heme chaperone,b2197,frozenset({<Reaction PHEMEabcpp at 0x7fcfa670bf98>})
ccmD,1.4003642111147174,10.0,2288855.0,cytochrome c biogenesis protein; heme export ABC transporter holo-CcmE release factor,b2198,frozenset({<Reaction PHEMEabcpp at 0x7fcfa670bf98>})
ccmC,1.6829155381675984,10.0,2289664.0,heme export ABC transporter permease; CcmE-interacting protein,b2199,frozenset({<Reaction PHEMEabcpp at 0x7fcfa670bf98>})
ccmB,1.615992997032055,10.0,2289840.0,heme export ABC transporter permease,b2200,frozenset({<Reaction PHEMEabcpp at 0x7fcfa670bf98>})
ccmA,1.7984704468811543,10.0,2290499.0,heme export ABC transporter ATPase,b2201,frozenset({<Reaction PHEMEabcpp at 0x7fcfa670bf98>})
napC,2.2313800276075764,10.0,2291712.0,"quinol dehydrogenase, electron source for NapAB",b2202,"frozenset({<Reaction NO3R2bpp at 0x7fcfa676df60>, <Reaction NO3R1bpp at 0x7fcfa676d7f0>})"
napB,1.789317311082289,10.0,2291747.0,"nitrate reductase, small, cytochrome C550 subunit, periplasmic",b2203,"frozenset({<Reaction NO3R2bpp at 0x7fcfa676df60>, <Reaction NO3R1bpp at 0x7fcfa676d7f0>})"
napH,1.8864227658344435,10.0,2292193.0,ferredoxin-type protein,b2204,frozenset({<Reaction NO3R1bpp at 0x7fcfa676d7f0>})
napG,1.673069054647229,10.0,2293043.0,ferredoxin-type protein,b2205,frozenset({<Reaction NO3R1bpp at 0x7fcfa676d7f0>})
napA,1.6516749561581223,10.0,2293760.0,"nitrate reductase, periplasmic, large subunit",b2206,"frozenset({<Reaction NO3R2bpp at 0x7fcfa676df60>, <Reaction NO3R1bpp at 0x7fcfa676d7f0>})"
napD,2.039142417380458,10.0,2296320.0,assembly protein for periplasmic nitrate reductase,b2207,
napF,1.6179332134677815,10.0,2296481.0,"ferredoxin-type protein, role in electron transfer to periplasmic nitrate reductase NapA",b2208,
eco,1.99403390829714,10.0,2297856.0,"ecotin, a serine protease inhibitor",b2209,
mqo,1.5813011624216688,10.0,2298586.0,"malate dehydrogenase, FAD/NAD(P)-binding domain",b2210,"frozenset({<Reaction MDH2 at 0x7fcfa67e7c88>, <Reaction MDH3 at 0x7fcfa67e7d68>})"
yojI,1.8257366461096627,10.0,2301952.0,microcin J25 efflux ABC transporter permease/ATPase,b2211,
alkB,1.876666159864869,10.0,2302169.0,oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions,b2212,
ada,1.7897030347227887,10.0,2302819.0,fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase,b2213,
apbE,1.941551040043711,10.0,2304000.0,putative thiamine-synthetic flavin transferase lipoprotein,b2214,
